question,paragraph,answer
Trường mà Augustin-Louis Cauchy học năm 16 tuổi được người dân Pháp coi là gì?,"Ông vào học Trường Bách khoa Paris (École Polytechnique) lúc 16 tuổi. École polytechnique (Cao đẳng Bách khoa), hay còn được nhắc đến với tên X, là một trong những grande école nổi tiếng nhất Pháp và người dân Pháp coi đây là trường đào tạo kĩ sư nổi tiếng nhất tại Pháp.",trường đào tạo kĩ sư nổi tiếng nhất tại Pháp
Nhóm nhạc của bài hát Meet Me Halfway bán được bao nhiêu đĩa đơn trên toàn cầu?,"""Meet Me Halfway"" là một bài hát của nhóm nhạc Mỹ The Black Eyed Peas nằm trong album phòng thu thứ năm của họ, The E.N.D. (2009). Nhóm bán được gần 18 triệu album và 9 triệu đĩa đơn trên toàn cầu.",9 triệu
Tỉnh có thành phố Den Haag có giáp ranh tỉnh Zeeland ở phía tây nam phải không?,"Thành phố nằm ở miền tây Hà Lan, thuộc tỉnh Nam Hà Lan và là tỉnh lỵ của tỉnh này. Các tỉnh giáp ranh có: Zeeland phía tây nam, Noord-Brabant về phía đông nam, Gelderland về phía đông, Utrecht về phía đông bắc và Bắc Hà Lan về phía bắc.",đúng
Quốc gia của Kailash Satyarthi giáp với Ấn Độ Dương ở phía nào?,"Kailash Satyarthi (tiếng Hindi: कैलाश सत्यार्थी) (sinh ngày 11 tháng 1 năm 1954) là một nhà hoạt động vì quyền của trẻ em người Ấn Độ, và một người đoạt giải Nobel Hòa bình năm 2014. Ấn Độ tiếp giáp với Ấn Độ Dương ở phía Nam, biển Ả Rập ở phía Tây – Nam và vịnh Bengal ở phía Đông – Nam, Ấn Độ có đường biên giới trên bộ với Pakistan ở phía Tây; với Trung Quốc, Nepal và Bhutan ở phía Đông – Bắc và Myanmar cùng Bangladesh ở phía Đông.",nam
Trường mà John B. Goodenough làm giáo sư được sáng lập năm 1673 phải không?,"Ông hiện là giáo sư về kỹ thuật cơ khí và khoa học vật liệu tại Đại học Texas ở Austin. Được thành lập năm 1883, khuôn viên của trường nằm cách Tòa Quốc hội Tiểu bang Texas trong thành phố thủ phủ Austin khoảng 0,25 dặm (400 m).",không
Quốc gia có Nelson Mandela là lãnh tụ nằm ở lục địa nào?,"Ông là lãnh tụ của Cộng hòa Nam Phi và được coi là một trong những người có ảnh hưởng nhất trong lịch sử đất nước này. Nam Phi (tiếng Anh: South Africa), tên chính thức là Cộng hòa Nam Phi là một quốc gia nằm ở mũi phía nam lục địa châu Phi.",Châu Phi
Thủ đô của vương quốc Anh là gì,"Hoàng cung lúc đầu đặt ở Winchester , Hampshire , nhưng từ thế kỉ 12 trở đi , Luân Đôn thực tế đã trở thành thủ đô của quốc gia này .",Luân Đôn
Thành phố mượn và bán Costa cách Madrid 278 km về phía đông nam phải không?,"Năm 2007, anh ký hợp đồng với Atlético Madrid, trước khi được đem cho Celta, Albacete mượn và bán cho Valladolid nhưng sau đó anh đã trở lại Atlético năm 2010 và trở thành chân sút số một của câu lạc bộ này trong mùa bóng 2013-14, mùa giải mà Atlético có được danh hiệu vô địch La Liga. Albacete - tiếng Ả Rập: البسيط là một thành phố ở đông nam Tây Ban Nha, cách Madrid 278 km về phía đông nam, là thủ phủ của tỉnh Albacete ở cộng đồng tự trị Castilla-La Mancha.",đúng
Nghệ sĩ nào có bài hát Feel This Moment sinh năm 1980?,"""Feel This Moment"" là một bài hát của nam nghệ sĩ nhạc rap người Mỹ gốc Cuba Pitbull hợp tác với nữ nghệ sĩ thu âm người Mỹ Christina Aguilera. Christina María Aguilera (, tiếng Tây Ban Nha: [aɣiˈleɾa]; sinh ngày 18 tháng 12 năm 1980) là một nữ ca sĩ, nhạc sĩ, diễn viên và nhân vật truyền hình người Mỹ.",Christina Aguilera
Đội tuyển thành công nhất European Champion Clubs' Cup cũng từng giành được bao nhiêu chức vô địch thế giới cấp câu lạc bộ ?,Real Madrid là câu lạc bộ thành công nhất trong lịch sử giải đấu với 13 lần vô địch.,bảy
Canada giáp với những đất nước nào,"Về phía nam , Canada giáp với Hoa Kỳ liền kề ; về phía tây bắc , Canada giáp với tiểu bang Alaska của Hoa Kỳ .","Về phía nam , Canada giáp với Hoa Kỳ liền kề ; về phía tây bắc , Canada giáp với tiểu bang Alaska của Hoa Kỳ"
Tạp chí xếp Carlos Santana vào vị trí thứ 15 trong danh sách 100 tay guitar vĩ đại nhất vào năm 2003 được sáng lập tại đâu?,Tạp chí Rolling Stone đã xếp anh vào vị trí thứ 15 trong danh sách 100 tay guitar vĩ đại nhất vào năm 2003 (vị trí số 20 vào năm 2012) Rolling Stone được thành lập tại San Francisco năm 1967 bởi Jann Wenner (người vẫn là tổng biên tập) và nhà phê bình âm nhạc Ralph J. Gleason.,San Francisco
Lê Đức Anh sinh năm bao nhiêu,Lê Đức Anh ( sinh 1 tháng 12 năm 1920 ) là Chủ tịch nước thứ tư của nước Cộng hoà Xã hội Chủ nghĩa Việt Nam nhiệm kỳ 1992 – 1997 .,1 tháng 12 năm 1920
Thủ đô của Philippines hiện nay là thành phố nào,Bản thân thành phố Manila là thủ đô quốc gia của Philippines.,thành phố Manila
Thủ đô là Malaysia là thành phố nào,"Thành phố thủ đô là Kuala Lumpur , song nơi đặt trụ sở của chính phủ liên bang là Putrajaya .",Kuala Lumpur
Ảnh gif có từ bao giờ,Định dạng này được CompuServe cho ra đời vào năm 1987 và nhanh chóng được dùng rộng rãi trên World Wide Web cho đến nay .,năm 1987
Công ty của ban nhạc nữ SNSD là của nước Ấn Độ phải không?,"Girls' Generation (tiếng Triều Tiên: 소녀시대; Hanja: 少女時代; Romaja: So Nyeo Shi Dae; Hán-Việt: Thiếu Nữ Thời Đại; tiếng Nhật: 少女時代 (しょうじょじだい); Rōmaji: Shōjo Jidai), hay còn được gọi là SNSD, là một nhóm nhạc nữ Hàn Quốc được thành lập bởi SM Entertainment. SM Entertainment Co., Ltd. (tiếng Triều Tiên: SM엔터테인먼트) là một công ty giải trí của Hàn Quốc.",không
Issa Hayatou nhỏ tuổi hơn Charles W. Fairbanks phải không?,"Charles Warren Fairbanks (11 tháng 5 năm 1852 – 4 tháng sáu, 1918) là một nhà chính trị gia, người từng là Phó Tổng thống thứ 26 của Hoa Kỳ từ năm 1905 để năm 1909 và một thượng nghị sĩ từ Indiana từ năm 1897 để năm 1905. Issa Hayatou (sinh ngày 9 tháng 8 năm 1946) là một cựu vận động viên thể thao và nhà quản lí bóng đá người Cameroon.",đúng
Đảo Phú Quốc nằm ở tỉnh nào,Đảo Phú Quốc cùng với các đảo khác tạo thành huyện đảo Phú Quốc trực thuộc tỉnh Kiên Giang .,tỉnh Kiên Giang
Tạp chí bầu Buster Keaton đứng ở vị trí thứ bảy trong danh sách những đạo diễn xuất sắc nhất mọi thời đại do công ty nào xuất bản?,"Ông được tạp chí Entertainment Weekly bầu đứng ở vị trí thứ bảy trong danh sách những đạo diễn xuất sắc nhất mọi thời đại. Entertainment Weekly (đôi khi được viết tắt là EW, tạm dịch Tạp chí Giải trí hàng tuần) là một tạp chí của Mỹ, do Time, công ty con trực thuộc Time Warner xuất bản, chuyên về các lĩnh vực điện ảnh, truyền hình, âm nhạc, kịch Broadway, sách và văn hoá đại chúng.","Time, công ty con trực thuộc Time Warner"
Oprah Winfrey nổi tiếng trong chương trình The Oprah Winfrey Show được xếp ở vị trí thứ 49 trên 50 chương trình truyền hình hay nhất mọi thời đại phải không?,"Bà được biết đến với chương trình trò chuyện The Oprah Winfrey Show, đây là chương trình truyền hình được đánh giá cao nhất trong lịch sử và được phát sóng trên toàn quốc trong vòng 25 năm liên tục, từ năm 1986 đến 2011 từ Chicago. Năm 2002, TV Guide xếp nó ở vị trí thứ 49 trên 50 chương trình truyền hình hay nhất mọi thời đại.",đúng
Học thuyết nào Harry S. Truman thành lập dựa trên chính sách ngăn chặn chủ nghĩa Cộng sản?,"Ông đã thực hiện Kế hoạch Marshall để tái thiết nền kinh tế Tây Âu, và đã sáng lập nên Học thuyết Truman và NATO. Học thuyết Truman được đề xuất bởi Tổng thống Truman của Hoa Kỳ vào ngày 12 tháng 3 năm 1947, nó dựa trên chính sách ngăn chặn chủ nghĩa Cộng sản và được thông qua vào ngày 22 tháng 5 năm 1947.",Thuyết Truman
Công ty quản lý Disney XD được thành lập năm nào?,"Disney XD là một kênh truyền hình cáp kỹ thuật số và vệ tinh thuộc sở hữu Disney Channels Worldwide có đơn vị là Disney–ABC Television Group, trực thuộc Disney Media Networks do The Walt Disney Company quản lý. Được thành lập ngày 16 tháng 10 năm 1923 bởi anh em Walt và Roy O.Disney.",1923
Giải thưởng mà Gabriel Lippmann nhận được trao hàng năm phải không?,"Ông được nhận Giải Nobel Vật lý về phát minh tạo hình ảnh màu bằng phương pháp giao thoa, chế tạo các tấm phim Lippmann của ông. Giải Nobel về vật lý là một trong những giải Nobel được trao hàng năm cho các nhà vật lý và thiên văn có những khám phá và những đóng góp nổi trội trong lĩnh vực vật lý hàng năm.",đúng
Tác phẩm có nhân vật Ennis del Mar được trình chiếu vào cuối năm 2005 phải không?,"Ennis Del Mar là nhân vật chính hư cấu của truyện ngắn ""Brokeback Mountain"" viết bởi nhà văn Annie Proulx, từng đoạt giải Oscar cho bộ phim cùng tên của đạo diễn Lý An. Chuyện tình sau núi (tựa gốc tiếng Anh: Brokeback Mountain) là một bộ phim Mỹ của đạo diễn Lý An được trình chiếu vào cuối năm 2005.",đúng
Javier Saviola lớn tuổi hơn John Lee Hooker phải không?,"John Lee Hooker (ngày 22 tháng 8 năm 1912  hoặc 1917   - ngày 21 tháng 6 năm 2001) là một ca sĩ, nhạc sĩ và nhạc sĩ blues người Mỹ. Javier Pedro Saviola Fernández (phát âm tiếng Tây Ban Nha: [xaˈβjeɾ ˈpeðɾo saˈβjola feɾˈnandes]; sinh ngày 11 tháng 12 năm 1981) là một cựu cầu thủ bóng đá Argentina thi đấu ở vị trí tiền đạo.",không
Al Gore lớn tuổi hơn Patrick Kluivert phải không?,"Albert Arnold Gore, Jr. (tên thường được gọi Al Gore; sinh ngày 31 tháng 3 năm 1948) là Phó Tổng thống thứ 45 của Hoa Kỳ, ông giữ chức vụ này từ năm 1993 đến 2001 dưới thời Tổng thống Bill Clinton. Patrick Stephan Kluivert (sinh 1 tháng 7 năm 1976 ở Amsterdam) là một cầu thủ bóng đá quốc tế người Hà Lan.",đúng
Giải Quả cầu vàng mà Danny DeVito đã thắng có tên tiếng Anh là Golden Globe Awards phải không?,"Ông nổi bật lên với vai diễn người đưa tin taxi Louie De Palma trong loạt phim truyền hình Taxi (1978–1983), thắng một Giải Quả cầu vàng và một giải Emmy. Giải Quả cầu Vàng (tiếng Anh: Golden Globe Awards) là một giải thưởng của Hiệp hội báo chí nước ngoài ở Hollywood trao hàng năm cho các cống hiến xuất sắc trong ngành kỹ nghệ giải trí, cả ở Hoa Kỳ lẫn nước ngoài, và nhằm hướng sự chú ý của công chúng vào phim và chương trình truyền hình hay nhất.",không
Arsenal đã giành được những cúp nào,"Arsenal đã giành được 13 chức vô địch quốc gia , 13 Cúp FA ( kỷ lục ) , 2 Cúp Liên đoàn Anh , 1 Cúp Liên đoàn Thế kỷ , 15 Siêu cúp Anh , 1 Cúp UEFA và 1 Cúp Inter-Cities Fairs .","13 chức vô địch quốc gia , 13 Cúp FA ( kỷ lục ) , 2 Cúp Liên đoàn Anh , 1 Cúp Liên đoàn Thế kỷ , 15 Siêu cúp Anh , 1 Cúp UEFA và 1 Cúp Inter-Cities Fairs"
Ngày Quốc khánh đầu tiên của nước Mỹ là năm nào,"Ngày 4 tháng 7 được coi là ngày Quốc Khánh của Hoa Kỳ, nhằm kỷ niệm Tuyên ngôn độc lập của nước này được ký vào năm 1776.",năm 1776.
Sê-ri hoạt hình có Joan Cusack lồng tiếng cho vai Jessie ra mắt vào năm nào?,Bà cũng lồng tiếng cho vai Jessie trong sê-ri hoạt hình Toy Story. Câu chuyện đồ chơi (tên tiếng Anh: Toy Story) là bộ phim hoạt hình máy tính của Mỹ ra mắt vào năm 1995 do xưởng phim hoạt hình Pixar sản xuất và Walt Disney Pictures phát hành.,1995
Nghệ sĩ có chuyến lưu diễn Liberation Tour là chủ nhân của chín giải Grammy phải không?,"Liberation Tour chuyến lưu diễn thứ năm của nghệ sĩ thu âm người Mỹ Christina Aguilera, tổ chức để hỗ trợ tiêu thụ album thứ tám của cô, Liberation (2018). Cô là chủ nhân của năm giải Grammy, một giải Grammy Latin và một ngôi sao trên Đại lộ Danh vọng Hollywood, cô được mệnh danh là ""Tiếng hát của một thế hệ"" và được vinh danh là Huyền thoại Disney lần lượt vào năm 2012 và năm 2019.",không
Đội bóng có ngang bằng kỷ lục với Tottenham Hotspur F.C. đã giành được 2 Cúp FIFA Club World Cup phải không?,"Từ năm 1950 tới hết thập niên 2000, đội bóng luôn giành được ít nhất một danh hiệu mỗi thập kỷ, ngang bằng kỷ lục với Manchester United. Câu lạc bộ đã giành được 3 Cúp C1 châu Âu/UEFA Champions League, 1 UEFA Cup Winners' Cup, 1 UEFA Europa league, 1 Siêu cúp châu Âu, 1 Cúp Liên lục địa và 1 FIFA Club World Cup.",không
Nhóm nhạc có ca khúc One Thing giành được hạng ba trong cuộc thi The X Factor của Anh Quốc mùa giải thứ 7 phải không?,"""One Thing"" là một bài hát của nhóm nhạc nam người Anh-Ireland One Direction. Họ ký hợp đồng với Simon Cowell của hãng thu âm Syco Records sau khi được hình thành và giành hạng ba trong cuộc thi The X Factor của Anh Quốc mùa giải thứ 7 (năm 2010).",đúng
Tạp chí bình chọn danh sách 500 bài hát hay nhất mọi thời đại được thành lập tại San Francisco phải không?,Bài hát xếp hạng thứ #89 trong danh sách 500 bài hát hay nhất mọi thời đại do tạp chí Rolling Stone bình chọn. Rolling Stone được thành lập tại San Francisco năm 1967 bởi Jann Wenner (người vẫn là tổng biên tập) và nhà phê bình âm nhạc Ralph J. Gleason.,đúng
Đội bóng mua lại Ciro Immobile với giá 18 triệu Euro có mấy chiếc cúp vô địch quốc gia Đức?,"Sau mùa giải đột phá tại Torino, anh đã được Borussia Dortmund mua lại với giá 18 triệu Euro trước khi chuyển đến Sevilla vào năm 2015. Với 8 chiếc cúp vô địch quốc gia Đức và 5 cúp DFB Pokal, Dortmund cũng vô địch UEFA Cup Winners' Cup vào năm 1966 (trở thành đội bóng Đức đầu tiên giành danh hiệu tầm châu lục) và giành chức vô địch UEFA Champions League vào năm 1997.",8
Nicolaas Bloembergen nhận bằng tiến sĩ năm 1948 tại trường trường nước nào ?,"Nicolaas Bloembergen nhận bằng tiến sĩ từ Đại học Leiden năm 1948, trong khi đang nghiên cứu sinh tiến sĩ tại Đại học Harvard, Bloembergen cũng làm việc bán thời gian như là một trợ lý nghiên cứu sau đại học cho Edward Mills Purcell tại Phòng thí nghiệm bức xạ MIT. Đại học Leiden, tọa lạc tại thành phố Leiden, là trường đại học cổ xưa nhất ở Hà Lan .",Hà Lan
Quốc công Tiết chế là ai,Vào thế kỷ thứ XIII ở thái ấp Đại Trà  có Phò mã Đô uý Văn Định Vương Trần Quốc Thi tổ chức huy động lương thực chiêu tập binh mã trong vùng theo Quốc công tiết chế Hưng Đạo đại vương đánh giặc Mông- Nguyên.,Hưng Đạo đại vương
Thành phố của trường Deering High School nằm tại bang bang Maine phải không?,Cô học ở trường Deering High School tại Portland.,đúng
Quê hương của tổng thống Obama ở đâu,Nơi đây có ngôi làng Kogelo nơi được xem là quê nội của ông Barack Obama tổng thống Hoa Kỳ .,ngôi làng Kogelo
hải cẩu lặn sâu bao nhiêu m,Nghiên cứu đã phát hiện ra rằng hải cẩu có thể lặn hơn 1.000 met và hơn một giờ đồng hồ.,hơn 1.000 met
Maldives có bao nhiêu đảo,"Maldives có hai mươi sáu đảo san hô tự nhiên , được chia thành hai mươi mốt khu vực hành chính ( hai mươi đảo san hô hành chính và thành phố Malé ) .",hai mươi sáu đảo
Người mà Douglass North cùng nhận giải Nobel Kinh tế năm 1993 là người nước nào?,"Ông là người cùng nhận giải Nobel Kinh tế năm 1993 với Robert William Fogel. Robert William Fogel (1 tháng 7 năm 1926 – 11 tháng 6 năm 2013) là một nhà khoa học và sử gia kinh tế người Hoa Kỳ, ông được trao giải Nobel Kinh tế vào năm 1993 (cùng với Douglass North).",Hoa Kỳ
"Ca sĩ có album When We All Fall Asleep, Where Do We Go? sinh năm 2001 phải không?","là album phòng thu đầu tay của nữ ca sĩ người Mỹ Billie Eilish. Billie Eilish Pirate Baird O'Connell () sinh ngày 18 tháng 12 năm 2001, là một nữ ca sĩ kiêm nhạc sĩ người Mỹ.",đúng
Suboi có tên thật là,"Suboi tên khai sinh là Hàng Lâm Trang Anh, là một ca sĩ, rapper người Việt Nam.","Hàng Lâm Trang Anh,"
Luật bóng đá là gì,"Luật bóng đá là hệ thống quy định của FIFA trong việc chơi bóng đá , kể cả bóng đá trên sân cỏ chính thức , bóng đá trong nhà ... , áp dụng trên tất cả các nước .",là hệ thống quy định của FIFA trong việc chơi bóng đá
Internet là gì,Internet là một hệ thống thông tin toàn cầu có thể được truy nhập công cộng gồm các mạng máy tính được liên kết với nhau.,là một hệ thống thông tin toàn cầu có thể được truy nhập công cộng gồm các mạng máy tính được liên kết với nhau.
Marilyn Monroe nhỏ tuổi hơn Hank Williams phải không?,"Marilyn Monroe (; tên khai sinh Norma Jeane Mortenson; 1 tháng 6 năm 1926 – 5 tháng 8 năm 1962) là một nữ diễn viên, người mẫu và ca sĩ người Mỹ. Hiram King "" Hank "" Williams (17 tháng 9 năm 1923 - 1 tháng 1 năm 1953) là một ca sĩ-nhạc sĩ và nhạc sĩ người Mỹ.",đúng
Ai cùng với John Bardeen nhận giải Nobel vào năm 1972 sinh 31 tháng 5 năm 1931?,"John Bardeen (23 tháng 5 năm 1908 - 30 tháng 1 năm 1991) là một nhà vật lý và kĩ sư điện người Mỹ, ông là người đã hai lần giành được giải Nobel: lần thứ nhất là vào năm 1956 cho công trình phát minh ra transistor cùng với William Shockley và Walter Brattain, lần thứ hai vào năm 1972 với công trình về lý thuyết siêu dẫn đối lưu (Lý thuyết BCS) cùng với hai nhà khoa học khác là Leon Neil Cooper và John Robert Schrieffer. John Robert Schrieffer (sinh 31 tháng 5 năm 1931) là một nhà vật lý nổi tiếng người Mỹ.",John Schrieffer
Giải đấu mà sân vận động Villa Park đã tổ chức 55 trận bán kết được đặt tên theo tổ chức nào?,"Villa Park đã tổ chức 55 trận bán kết Cúp FA, nhiều hơn bất kỳ sân vận động nào khác. Nó được tổ chức và được đặt theo tên của Liên đoàn bóng đá Anh (FA).",Liên đoàn bóng đá Anh (FA)
Lê Thần Tông là cháu ngoại của nhân vật nổi tiếng nào,"Lê Thần Tông ra đời ngày 19/11/1607 (năm Đinh Mùi), là con trai trưởng của vua Lê Kinh Tông và hoàng hậu Trịnh Thị Ngọc Trinh, con gái thứ của Trịnh Tùng.",Trịnh Tùng.
Đất nước có giải thưởng Golden Disc Awards có tên gọi chính thức là Đại Hàn Dân Quốc phải không?,"Nó còn được mệnh danh là Grammy của Hàn Quốc. Hàn Quốc (tiếng Triều Tiên: 한국/ 韓國/ Hanguk), tên gọi chính thức là Đại Hàn Dân Quốc (tiếng Triều Tiên: 대한민국/ 大韓民國/ Daehan Minguk); là quốc gia cộng hòa lập hiến thuộc khu vực Đông Á, nằm trên nửa phía Nam của bán đảo Triều Tiên.",đúng
Ma tuý đá là gì,"Loại ma tuý này được giới sử dụng gọi là "" đá "" vì hình dạng bên ngoài trông giống đá - là tinh thể kết tinh thành những mảnh vụn li ti , gần giống với hạt mì chính ( bột ngọt ) hoặc giống hạt muối và óng ánh giống đá .","tinh thể kết tinh thành những mảnh vụn li ti , gần giống với hạt mì chính ( bột ngọt ) hoặc giống hạt muối và óng ánh giống đá"
Thành phố lớn nhất của Bhutan là gì,"Thimphu ( ; trước đây được viết là Thimbu ) , là thủ đô và thành phố lớn nhất của Vương quốc Bhutan .",Thimphu
Lê Thánh Tông là vị vua triều đại nào,Lê Thánh Tông (chữ Hán: 黎聖宗 25 tháng 8 năm 1442 – 3 tháng 3 năm 1497) là hoàng đế thứ năm của Hoàng triều Lê nước Đại Việt.,Hoàng triều Lê nước Đại Việt.
"Tổ chức phân phối cho Big Machine Records có trụ sở hoạt động đặt tại Santa Monica, California phải không?","Big Machine Records là một hãng thu âm độc lập của Mỹ, được phân phối bởi Universal Music Group và chuyên về các nghệ sĩ nhạc đồng quê và nhạc pop. Trụ sở công ty của UMG được đặt tại Hilversum, Hà Lan và trụ sở hoạt động của nó được đặt tại Santa Monica, California.",đúng
Đế quốc Nhật Bản tồn tại trong khoảng thời gian nào,Đế quốc Nhật Bản hay Đại Nhật Bản Đế quốc là một quốc gia dân tộc trong lịch sử Nhật Bản tồn tại từ cuộc cách mạng Minh Trị năm 1868 cho đến khi Hiến pháp Nhật Bản được ban hành vào năm 1947,từ cuộc cách mạng Minh Trị năm 1868 cho đến khi Hiến pháp Nhật Bản được ban hành vào năm 1947
Alexander đại đế qua đời ở đâu,"Ngày 13/6/323 TCN, Alexander qua đời tại Babylon khi mới 33 tuổi.",Babylon
Quốc gia của Học viện Karolinska giáp Na Uy ở phía nào?,"Đây là một trung tâm huấn luyện và nghiên cứu lớn nhất Thụy Điển, chiếm 30% về huấn luyện và 40% về nghiên cứu y khoa đại học của cả nước. Thụy Điển (tiếng Thụy Điển: Sverige), tên chính thức là Vương quốc Thụy Điển (tiếng Thụy Điển: Konungariket Sverige), là một quốc gia ở Bắc Âu, giáp Na Uy ở phía Tây và Phần Lan ở phía Đông Bắc, nối với Đan Mạch bằng cầu Öresund ở phía Nam, phần biên giới còn lại giáp Biển Baltic và Biển Kattegat.",phía Tây
Loài khủng long tuyệt chủng cách đây khoảng mấy năm,"Vụ tuyệt chủng lớn gần đây nhất xảy ra vào khoảng 66 triệu năm trước, khi một thiên thạch có lẽ đã va chạm vào Trái Đất làm tuyệt chủng các loài khủng long phi chim và các loài bò sát lớn khác, ngoại trừ những loài động vật nhỏ như động vật có vú.",khoảng 66 triệu năm trước
Bài hát nào của nữ nghệ sĩ thể hiện ca khúc Your Body được xem như thánh ca của cộng đồng LGBT ?,"""Your Body"" là bài hát của nữ ca sĩ thu âm người Mỹ Christina Aguilera. Aguilera xếp ở vị trí thứ 58 trong danh sách 100 ca sĩ vĩ đại nhất mọi thời đại của Rolling Stone năm 2008 và nằm trong danh sách 100 người có ảnh hưởng nhất thế giới hàng năm của Time năm 2013.",Beautiful
tôn giáo nào thờ rắn,"Đối với người Hindu , rắn như một biểu tượng của thần thánh và đi sâu vào tôn giáo của người Balamon với lễ hội của rắn .",tôn giáo của người Balamon
Đội bóng của Nathan Dyer thành lập năm 1812 phải không?,"Nathan Antone Jonah Dyer (sinh ngày 29 tháng 11 năm 1987) là một cầu thủ bóng đá người Anh hiện đang chơi cho câu lạc bộ  Swansea City ở vị trí tiền vệ cánh. Swansea City Association Football Club (thành lập năm 1912) là một câu lạc bộ bóng đá chuyên nghiệp có trụ sở tại Swansea, xứ Wales.",không
Công ty phát hành album Death Magnetic có trụ sở ở đâu?,"Death Magnetic là album phòng thu thứ 9 của ban nhạc heavy metal đến từ Mỹ Metallica, phát hành ngày 12 tháng 9 năm 2008 bởi Warner Bros. Đây là một chi nhánh từ Time Warner, trụ sở đặt tại Burbank, California và New York City.",Burbank
Vạn Lý Trường Thành được xây dựng vào thời gian nào,"Thuật ngữ này có thể được tìm thấy trong sách sử ( thế kỷ thứ 1 TCN ) , ghi nhận những bức tường được xây dựng thời Chiến Quốc , và chủ yếu các bức tường của Tần Thuỷ Hoàng xây dựng .",thời Chiến Quốc
Giải mà FC Twente hiện đang thi đấu được thành lập vào năm 1960 phải không?,"Hiện đội đang thi đấu ở Giải vô địch bóng đá Hà Lan (tiếng Hà Lan: Eredivisie). Giải được thành lập vào năm 1956, hai năm sau sự khởi đầu của bóng đá chuyên nghiệp của Hà Lan.",không
Quốc gia có bang Arunachal Pradesh là quốc gia nằm ở khu vực nào của châu Á?,"Arunachal Pradesh () hay A Lỗ Nạp Tra (阿魯納查) là một trong hai mươi chín bang của Ấn Độ. Ấn Độ (tiếng Hindi: भारत, chuyển tự Bhārata, tiếng Anh: India), tên gọi chính thức là Cộng hòa Ấn Độ (tiếng Hindi: भारत गणराज्य, chuyển tự Bhārat Gaṇarājya, tiếng Anh: Republic of India), là một quốc gia cộng hòa có chủ quyền tại khu vực Nam Á.",Nam Á
Trường được Gaspard Monge sáng lập nằm ở đâu trước năm 1976?,"Trong cuộc Cách mạng Pháp, ông đã tham gia vào việc cải cách toàn bộ hệ thống giáo dục, thành lập Trường Bách khoa Paris. Trước 1976, trường tọa lạc tại khu khu phố La Tinh ở trung tâm Paris.",khu phố La Tinh ở trung tâm Paris
Trần Lệ Xuân sinh năm mấy,"Trần Lệ Xuân (22 tháng 8 năm 1924- 24 tháng 04 năm 2011, còn được gọi tắt theo tên chồng là bà Nhu) là một gương mặt then chốt trong Chính phủ Ngô Đình Diệm (chồng của bà là Ngô Đình Nhu, em trai và cũng là cố vấn thân cận nhất của Ngô Đình Diệm).",năm 1924
Cơ quan đã tổ chức cuộc thi Blue Stars/FIFA Youth Cup năm 1991 có tên tiếng Anh là gì?,"Cơ quan FIFA đã tổ chức cuộc thi năm 1991. Liên đoàn Bóng đá Quốc tế (tiếng Pháp: Fédération Internationale de Football Association - FIFA; tiếng Anh: International Federation of Association Football) là cơ quan quản lý môn bóng đá, futsal và bóng đá bãi biển ở cấp độ thế giới.",International Federation of Association Football
"Ban nhạc của album ""Abbey Road"" có bao nhiêu thành viên?","Abbey Road là album thứ 11 của ban nhạc rock người Anh, The Beatles. Với 4 thành viên John Lennon, Paul McCartney, George Harrison và Ringo Starr, họ được coi là ban nhạc có ảnh hưởng nhất mọi thời đại.",4
Hồ Hoàn Kiếm trước đây còn được gọi là gì,""" Từ đó , hồ Tả Vọng bắt đầu mang tên là Hồ Gươm hay hồ Hoàn Kiếm """,Tả Vọng
Công suất là gì,Công suất P ( từ tiếng Latinh Potestas ) là một đại lượng cho biết công được thực hiện ΔW hay năng lượng biến đổi ΔE trong một khoảng thời gian T = Δt .,là một đại lượng cho biết công được thực hiện ΔW hay năng lượng biến đổi ΔE trong một khoảng thời gian T = Δt
Quốc gia của trọng tài quốc tế Stanley Rous có biên giới trên bộ với các nước nào?,"Sir Stanley Ford Rous, CBE (25 tháng 4 năm 1895 - 18 tháng 7 năm 1986) là một trọng tài quốc tế người Anh và là chủ tịch thứ sáu của FIFA từ năm 1961 đến năm 1974. Quốc gia này có biên giới trên bộ với Scotland về phía bắc và với Wales về phía tây.",Scotland về phía bắc và Wales về phía tây
Rắn hổ mang chúa thuộc họ gì,""" Ophiophagus hannah "" thuộc về chi "" Ophiophagus "" đơn diện , họ Elapidae ( họ rắn hổ ) .",Elapidae
"Ca sĩ chơi lap steel guitar cho ca khúc ""For You Blue"" mất năm nào?","Ca khúc được thu âm vào tháng 1 năm 1969 tại phòng thu Apple Studio ở London với phần chơi lap steel guitar của John Lennon. John Winston Ono Lennon MBE (tên khai sinh: John Winston Lennon; 9 tháng 10 năm 1940 – 8 tháng 12 năm 1980) là một nam ca sĩ, nhạc sĩ, nhạc công và nhà hoạt động hòa bình người Anh, người sáng lập, ca sĩ và nghệ sĩ guitar của ban nhạc The Beatles.",1980
Bảng Anh là gì,"Bảng Anh ( ký hiệu £ , mã ISO : GBP ) tức Anh kim là đơn vị tiền tệ chính thức của Vương quốc Anh và các lãnh thổ hải ngoại , thuộc địa .","là đơn vị tiền tệ chính thức của Vương quốc Anh và các lãnh thổ hải ngoại , thuộc địa"
